attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,open_time,close_time
369,Tolip Beach,4,1866,Beach,,31.24317,29.9615,alexandria,Beach,06:00 AM, 12:00 AM
370,Sky Yacht Club,4.2,471,Beach,,31.28979,30.0247,alexandria,Beach,06:00 AM, 12:00 AM
371,kouta park,4,5907,Park,,31.28468,30.03403,alexandria,Park,06:00 AM, 12:00 AM
372,Stanli Beach,4.3,511,Beach,,31.23389,29.94583,alexandria,Beach,06:00 AM, 12:00 AM
373,Ras Soda Temple,4.1,126,Temple,,31.20324,29.91876,alexandria,Temple,06:00 AM, 12:00 AM
374,Mustafa Kamel Hellenistic Necropolis,4.2,53,History,,31.23074,29.9476,alexandria,History,06:00 AM, 12:00 AM
375,Glime Beach,3.7,906,Beach,,31.24112,29.95946,alexandria,Beach,06:00 AM, 12:00 AM
376,Arabic Calligraphy Museum,4.2,36,Museum,,31.19509,29.9131,alexandria,Museum,06:00 AM, 12:00 AM
377,Cleopatra Beach,4,37,Beach,,36.55333,31.97284,alexandria,Beach,06:00 AM, 12:00 AM
378,Eliahu Hanavi Synagogue,3.9,148,Synagogue,"judaism, history and architecture Religious Sites",31.19921,29.90037,alexandria,"Synagogue judaism, history and architecture Religious Sites",06:00 AM, 12:00 AM
379,San Stifanu Beach,4.3,30,Beach,,31.24806,29.96528,alexandria,Beach,06:00 AM, 12:00 AM
380,Sh??i' al Anf?sh?,4.3,116,Beach,,31.20885,29.88262,alexandria,Beach,06:00 AM, 12:00 AM
381,Magic Planet City Centre Alexandria,4.4,183,Park,Amusment Park theme,31.16591,29.93252,alexandria,Park Amusment Park theme,06:00 AM, 12:00 AM
382,Keluobatra Beath,4.4,128,Beach,,36.55333,31.97284,alexandria,Beach,06:00 AM, 12:00 AM
383,El Montazah Beach,4.3,130,Beach,,31.28234,30.0116,alexandria,Beach,06:00 AM, 12:00 AM
384,Antoniades Garden's,3.9,2041,Garden,Green space with palms & sculptures,31.20568,29.947,alexandria,Garden Green space with palms & sculptures,06:00 AM, 12:00 AM
385,San Dtephano Beach,4.4,35,Beach,,31.24416,29.96297,alexandria,Beach,06:00 AM, 12:00 AM
386,Al Ibrahimiyyah Beach,4.3,19,Beach,,31.21722,29.92417,alexandria,Beach,06:00 AM, 12:00 AM
387,Stanley Beach,4.2,38,Beach,,31.23399,29.94585,alexandria,Beach,06:00 AM, 12:00 AM
388,Taverna Aqua City,3.9,14,Park,Garden,31.2448,30.00169,alexandria,Park Garden,06:00 AM, 12:00 AM
389,National Maritime Museum,3.8,77,Museum,Marine,31.23646,29.95113,alexandria,Museum Marine,06:00 AM, 12:00 AM
390,El Nozha Park,3.8,199,Park,Garden,31.20304,29.94382,alexandria,Park Garden,06:00 AM, 12:00 AM
391,Teachers' Club Beach,3.6,70,Beach,,31.23133,29.94358,alexandria,Beach,06:00 AM, 12:00 AM
392,Al Shalalat Park,3.8,4503,Park,Palm-lined footpaths & city wall ruins,31.20269,29.91454,alexandria,Park Palm-lined footpaths & city wall ruins,06:00 AM, 12:00 AM
393,El Alamein War Cemetery - British,4.5,68,Military cemetery,,30.83721,28.94672,alexandria,Military cemetery,06:00 AM, 12:00 AM
394,Beach Hotel Rose Asafra,3.8,2969,Beach,"Swimming, seafront cafes & sunset views public",31.27545,30.00198,alexandria,"Beach Swimming, seafront cafes & sunset views public",06:00 AM, 12:00 AM
395,International park Alexandria,3.7,720,Park,Garden,31.17848,29.93029,alexandria,Park Garden,06:00 AM, 12:00 AM
396,Nelson's Island,4.3,95,island,,31.35783,30.10588,alexandria,island,06:00 AM, 12:00 AM
397,Honey Moon Beach,4.3,247,Beach,,31.13698,29.7816,alexandria,Beach,06:00 AM, 12:00 AM
398,Elbeytash Beach,4,128,Beach,,31.13241,29.77865,alexandria,Beach,06:00 AM, 12:00 AM
399,Abu Qir Bay,4.6,26,Bay,"Ancient history, ruins, archaeological excavation and ancient egypt",31.3,30.16667,alexandria,"Bay Ancient history, ruins, archaeological excavation and ancient egypt", 9:00 AM , 5:00 PM
400,Alexandria Zoo,3.6,11603,Zoo,"Lions, reptiles & a variety of birds",31.20485,29.94356,alexandria,"Zoo Lions, reptiles & a variety of birds",06:00 AM, 12:00 AM
401,Hurghada Grand Aquarium,4.3,"7,948",Tourist attraction,,27.1344,33.82188,hurghada,Tourist attraction,09:00 AM, 6:00 PM
402,Mini Egypt Park,4.4,990,Tourist attraction,Speciality Museums Points of Interest & Landmarks,26.98762,33.85627,hurghada,Tourist attraction Speciality Museums Points of Interest & Landmarks,06:00 AM, 12:00 AM
403,Sand City Hurghada,4.3,"2,069",Tourist attraction,,27.09959,33.82309,hurghada,Tourist attraction,06:00 AM, 12:00 AM
404,ALmamsha park,4.3,"2,486",Tourist attraction,,27.19021,33.83248,hurghada,Tourist attraction,06:00 AM, 12:00 AM
405,Hurghada Marine Museum & Aquarium,4.3,155,Tourist attraction,,27.28363,33.77222,hurghada,Tourist attraction,07:00 AM, 12:00 AM
406,"Sliders Cable Park - El Gouna, Egypt",4.5,779,Tourist attraction,water park,27.37727,33.66082,hurghada,Tourist attraction water park,06:00 AM, 12:00 AM
407,Monument to the martyrs of the Battle of Shidwan Island,4.4,163,Park,memorial park,27.50523,33.98209,hurghada,Park memorial park, 9:00 AM , 3:00 PM
408,Makadi Water World,4.6,36,Park,water park,26.9825,33.87289,hurghada,Park water park,10:00 AM, 12:00 AM
409,Hurghada Museum,4.4,678,Museum,,27.16055,33.82146,hurghada,Museum,06:00 AM, 12:00 AM
410,Senzo Mall,4.4,"19,324",Shopping mall,Shopping mall,27.09554,33.82191,hurghada,Shopping mall Shopping mall,06:00 AM, 12:00 AM
411,Steg Pharao Azur Resort,4.2,23,Tourist attraction,,27.08721,33.84795,hurghada,Tourist attraction,06:00 AM, 12:00 AM
412,ponorka Sindbad,4.4,47,Tourist attraction,,27.17321,33.85306,hurghada,Tourist attraction,06:00 AM, 12:00 AM
413,Forest Tree,4,33,National forest,,27.30771,33.71985,hurghada,National forest,06:00 AM, 12:00 AM
414,Sindbad Aqua Park,4.5,31,Park,water,27.19021,33.83248,hurghada,Park water,06:00 AM, 12:00 AM
415,Paradise Beach,4.5,"5,909",Tourist attraction,Beaches,27.18144,33.95392,hurghada,Tourist attraction Beaches, 7:00 AM , 6:00 PM
416,Orange Bay,4.4,"7,488",Tourist attraction,Parasailing & Paragliding Safaris Adrenaline & Extreme Tours Swim with Dolphins Boat Tours Waterskiing & Jetskiing Fishing Charters & Tours Speed Boats Tours Day Trips,27.20837,33.92651,hurghada,Tourist attraction Parasailing & Paragliding Safaris Adrenaline & Extreme Tours Swim with Dolphins Boat Tours Waterskiing & Jetskiing Fishing Charters & Tours Speed Boats Tours Day Trips,06:00 AM, 12:00 AM
417,Submarine adventures - Hurghada,4.5,"11,127",Boat tour agency,,27.22391,33.84094,hurghada,Boat tour agency,06:00 AM, 12:00 AM
418,Sherry.St.,4.3,"2,598",Park,,27.22024,33.83601,hurghada,Park, 9:00 AM , 5:00 PM
419,Sindbad Submarines,4.5,786,Boat tour agency,Submarine Tours,27.18702,33.83493,hurghada,Boat tour agency Submarine Tours, 9:00 AM , 5:00 PM
420,Davinci Beach,4.6,14,Recreation center,,27.2579,33.81161,hurghada,Recreation center, 9:00 AM , 5:00 PM
421,Ramashka Tours Hurghada - Bus Tours - Boat Trips,4.7,126,Sightseeing tour agency,Scuba & Snorkelling Swim with Dolphins Boat Tours Sightseeing Tours Private Tours,27.22617,33.83806,hurghada,Sightseeing tour agency Scuba & Snorkelling Swim with Dolphins Boat Tours Sightseeing Tours Private Tours, 9:00 AM , 5:00 PM
422,Sea lovers. ????????? ? ???????,5,30,Hiking area,"Scuba & Snorkelling Submarine Tours Historical & Heritage Tours Boat Tours Private Tours Bus Tours 4WD, ATV & Off-Road Tours Safaris Taxis & Shuttles Walking Tours Fishing Charters & Tours Gear Rentals Dolphin & Whale Watching Day Trips",27.2579,33.81161,hurghada,"Hiking area Scuba & Snorkelling Submarine Tours Historical & Heritage Tours Boat Tours Private Tours Bus Tours 4WD, ATV & Off-Road Tours Safaris Taxis & Shuttles Walking Tours Fishing Charters & Tours Gear Rentals Dolphin & Whale Watching Day Trips", 9:00 AM , 5:00 PM
423,Funnydivers Diving Center Hurghada - Egypt,5,"1,687",SCUBA tour agency,Scuba & Snorkelling,27.25884,33.81948,hurghada,SCUBA tour agency Scuba & Snorkelling, 9:00 AM , 5:00 PM
424,Dive UK Hurghada,5,153,Diving center,Sports Camps & Clinics Scuba & Snorkelling Adrenaline & Extreme Tours Taxis & Shuttles Boat Tours Private Tours Dolphin & Whale Watching Day Trips,27.22619,33.84105,hurghada,Diving center Sports Camps & Clinics Scuba & Snorkelling Adrenaline & Extreme Tours Taxis & Shuttles Boat Tours Private Tours Dolphin & Whale Watching Day Trips, 9:00 AM , 5:00 PM
425,Bullet Speedboats,5,64,Boat rental service,Scuba & Snorkelling Swim with Dolphins Boat Tours Private Tours Dolphin & Whale Watching Speed Boats Tours Day Trips,27.22446,33.84114,hurghada,Boat rental service Scuba & Snorkelling Swim with Dolphins Boat Tours Private Tours Dolphin & Whale Watching Speed Boats Tours Day Trips,06:00 AM, 12:00 AM
426,Desert Safari Hurghada,4.3,164,Sightseeing tour agency,,27.13288,33.78073,hurghada,Sightseeing tour agency, 10:00 AM , 10:00 PM
427,Crazy Dolphin Diving Center,4.7,139,SCUBA instructor,Scuba & Snorkelling Boat Tours,27.24776,33.84759,hurghada,SCUBA instructor Scuba & Snorkelling Boat Tours, 9:00 AM , 5:00 PM
428,ALFayrouz beach,3.8,180,Beach,public,27.21799,33.84178,hurghada,Beach public, 9:00 AM , 5:00 PM
429,Akhenaten Egypt Gallery,2.5,30,Art Gallery,Art Galleries,27.18854,33.82209,hurghada,Art Gallery Art Galleries, 9:00 AM , 10:00 PM
430,Dive Hurghada,4.8,330,SCUBA instructor,Scuba & Snorkelling Shark Diving Safaris Boat Tours Water Sports,27.198,33.8429,hurghada,SCUBA instructor Scuba & Snorkelling Shark Diving Safaris Boat Tours Water Sports, 9:00 AM , 5:00 PM
431,Mahmya Island,4.7,"3,987",island,Islands,27.18272,33.95963,hurghada,island Islands,,
432,"Cleopatra Bazar Sheraton road, Hurghada",4.2,209,Shopping mall,,27.21379,33.8401,hurghada,Shopping mall,,
433,Egypt Divers,4.5,443,Diving center,,27.2579,33.81161,hurghada,Diving center,,
